incident_id,Incident_Title,incident_impact_level,Incident_color,provider,Playground,API,DALL-E,ChatGPT,api.anthropic.com,claude.ai,console.anthropic.com,Character.AI,investigating_flag,investigating_timestamp,investigating_description,identified_flag,identified_timestamp,identified_description,monitoring_flag,monitoring_timestamp,monitoring_description,resolved_flag,resolved_timestamp,resolved_description,postmortem_flag,postmortem_timestamp,postmortem_description,start_timestamp,close_timestamp,time_span,over_one_day
kfy40mxr686g,Billing and Usage dashboard data not displaying for some users,3,#ef4146,openai,0,1,0,0,0,0,0,0,0,,,1,2024-10-14 20:12:00+00:00,"We are currently investigating an issue where multiple users have reported no activity appearing in their billing and usage dashboards for certain models since October 10, 2024. Affected API customers are still able to use our models without disruption. Starting from ~1 PM PT today, users should start seeing data reflected again.",1,2024-10-16 17:39:00+00:00,We have implemented a fix for a configuration error which caused this issue. That fix is live so now the billing and usage dashboard data should be displaying normally for all who should have access. We're monitoring a backfill of all related billing events to ensure the usage display since this issue started reflect correctly in customer dashboards.,1,2024-10-18 16:39:00+00:00,"This incident has been resolved. The issue started October 8, 2024 at 11:00am Pacific and ended October 17, 2024 on 12:40 Pacific.",0,,,2024-10-14 20:12:00+00:00,2024-10-18 16:39:00+00:00,3 days 20:27:00,True
7k20nsx3kkqx,Increased latency in the API on GPT-4o mini,3,#ef4146,openai,0,1,0,0,0,0,0,0,1,2024-10-16 21:24:00+00:00,We are currently investigating increased latency on our GPT-4o mini model in the API. ChatGPT does not appear to be impacted at this time.,0,,,1,2024-10-17 16:28:00+00:00,We believe the issue has been mitigated. We're continuing to monitor the performance of this model.,1,2024-10-17 21:40:00+00:00,We've implemented a fix and confirmed the elevated latency on GPT-4o mini is resolved. This started Saturday Oct 12 11pm PT and resolved on Thursday Oct 17 3am PT.,0,,,2024-10-16 21:24:00+00:00,2024-10-17 21:40:00+00:00,1 days 00:16:00,True
9z6rj9swlc0y,Users are currently unable to upload files in ChatGPT / custom GPTs or in the API / Assistants,3,#ef4146,openai,0,1,0,1,0,0,0,0,1,2024-10-17 17:31:00+00:00,Users are currently unable to upload files in ChatGPT / custom GPTs. We are currently investigating this issue. API/Assistants are not impacted at this time.,0,,,1,2024-10-17 17:43:00+00:00,"A fix has been implemented and we are monitoring the results. The fix is applied to all impacted services across ChatGPT, custom GPTs, the API, and Assistants.",1,2024-10-17 17:51:00+00:00,"This incident is now resolved across all impacted services. This incident started Thursday October 17th, 2024 at 10:21pm and was mitigated at 10:45pm Pacific time.",0,,,2024-10-17 17:31:00+00:00,2024-10-17 17:51:00+00:00,0 days 00:20:00,False
v20bwm5v2t60,Degradation in Realtime API,0,#050505,openai,0,0,0,0,0,0,0,0,0,,,0,,,0,,,1,2024-10-15 23:30:00+00:00,"On Tue, Oct 15, we experienced degradation in the Realtime API from 11:45 PM to 12:45 AM GMT (Oct 16).",0,,,2024-10-15 23:30:00+00:00,2024-10-15 23:30:00+00:00,0 days 00:00:00,False
n55njyqz4hr8,Unable to create new fine-tuned models from existing fine-tuned models that were recently created,0,#050505,openai,0,1,0,0,0,0,0,0,1,2024-10-07 20:39:00+00:00,"Recently created fine-tuned models are not showing up in the ""Model Selection"" dropdown when choosing a base model to create a fine-tuning job from. This issue is only in the UI, customers can create fine-tuning jobs based off of existing fine-tunes via the API. This issue appears to only impact fine-tuned models created in the default project.",1,2024-10-07 21:22:00+00:00,The issue has been identified and a fix is being implemented.,1,2024-10-08 05:02:00+00:00,A fix has been implemented and we are monitoring the results.,1,2024-10-08 18:01:00+00:00,This incident has been resolved.,0,,,2024-10-07 20:39:00+00:00,2024-10-08 18:01:00+00:00,0 days 21:22:00,False
4f27pxbkg7kz,Elevated errors rates in Assistants API with vector store,0,#050505,openai,0,1,0,0,0,0,0,0,1,2024-10-04 12:59:00+00:00,We're experiencing an elevated level of API errors for calls with vector stores,0,,,1,2024-10-04 13:12:00+00:00,A fix has been implemented and we are monitoring the results.,1,2024-10-04 13:22:00+00:00,This incident has been resolved.,0,,,2024-10-04 12:59:00+00:00,2024-10-04 13:22:00+00:00,0 days 00:23:00,False
ngmt08pwjlxz,Erroneous usage data for some API users is leading to them incorrectly hitting usage limits,1,#f4ac36,openai,0,1,0,0,0,0,0,0,0,,,1,2024-10-01 15:50:00+00:00,The issue has been identified and currently a fix is being implemented.,1,2024-10-01 16:48:00+00:00,A fix has been implemented and we are monitoring the results.,1,2024-10-02 16:20:00+00:00,This incident was resolved as of 6 pm PDT on 10/1/2024. Customers should no longer be seeing erroneous usage data or unexpectedly be hitting usage limits.,0,,,2024-10-01 15:50:00+00:00,2024-10-02 16:20:00+00:00,1 days 00:30:00,True
lq1wnj3bp7sc,Elevated errors for request to Anthropic API,0,#333333,anthropic,0,0,0,0,1,0,0,0,1,2024-12-02 02:42:00+00:00,We are currently investigating this issue.,0,,,0,,,1,2024-12-02 08:22:00+00:00,This incident has been resolved and a fix was deployed to mitigate 500 errors that were arising from API requests containing images.,0,,,2024-12-02 02:42:00+00:00,2024-12-02 08:22:00+00:00,0 days 05:40:00,False
b3zd1rqxycty,Elevated errors for requests to Anthropic API,0,#333333,anthropic,0,0,0,0,1,0,0,0,1,2024-12-01 06:51:00+00:00,We are currently investigating this issue.,0,,,1,2024-12-01 15:23:00+00:00,"Some requests to the Anthropic API received elevated HTTP 529 errors. At this time, we have seen success rates normalize and are continuing to monitor.",1,2024-12-02 02:30:00+00:00,This incident has been resolved and we are observing fewer 529 errors.,0,,,2024-12-01 06:51:00+00:00,2024-12-02 02:30:00+00:00,0 days 19:39:00,False
ff02srsfxr0d,Elevated errors for requests to Anthropic API,1,#f1c40f,anthropic,0,0,0,0,1,0,0,0,0,,,0,,,1,2024-11-28 20:02:00+00:00,A fix has been implemented and we are monitoring the results.,1,2024-11-29 00:47:00+00:00,This incident has been resolved.,0,,,2024-11-28 20:02:00+00:00,2024-11-29 00:47:00+00:00,0 days 04:45:00,False
w276phztyhp9,Elevated errors for requests to Anthropic API,1,#f1c40f,anthropic,0,0,0,0,1,0,0,0,1,2024-11-28 06:35:00+00:00,We are currently troubleshooting an issue impacting specific API workloads.,0,,,1,2024-11-28 07:39:00+00:00,A fix has been implemented and we are monitoring the results.,1,2024-11-28 16:23:00+00:00,This incident has been resolved.,0,,,2024-11-28 06:35:00+00:00,2024-11-28 16:23:00+00:00,0 days 09:48:00,False
zcsrfy26xq27,Elevated errors for requests to Anthropic API,2,#e67e22,anthropic,0,0,0,0,1,1,1,0,1,2024-11-27 15:29:00+00:00,"We are currently investigating elevated errors on requests to Claude 3.5 Sonnet on the API, Claude.ai, and the Anthropic Console.",0,,,1,2024-11-27 16:21:00+00:00,A fix has been implemented and we are monitoring the results.,1,2024-11-27 18:57:00+00:00,This incident has been resolved.,0,,,2024-11-27 15:29:00+00:00,2024-11-27 18:57:00+00:00,0 days 03:28:00,False
nwn20mzh9v1k,Elevated errors for requests to Claude 3.5 Sonnet,0,#333333,anthropic,0,0,0,0,1,1,1,0,1,2024-11-27 08:53:00+00:00,"We are currently investigating elevated errors on requests to Claude 3.5 Sonnet on the API, Claude.ai, and the Anthropic Console.",0,,,1,2024-11-27 09:09:00+00:00,A fix has been implemented and we are monitoring the results.,1,2024-11-27 09:17:00+00:00,This incident has been resolved.,0,,,2024-11-27 08:53:00+00:00,2024-11-27 09:17:00+00:00,0 days 00:24:00,False
vwxx2jj0zsj0,Elevated errors on Claude 3.5 Sonnet,2,#e67e22,anthropic,0,0,0,0,1,1,0,0,1,2024-11-26 14:17:00+00:00,We are currently investigating this issue.,0,,,1,2024-11-26 16:47:00+00:00,A fix has been implemented and we are monitoring the results.,1,2024-11-26 18:12:00+00:00,This incident has been resolved.,0,,,2024-11-26 14:17:00+00:00,2024-11-26 18:12:00+00:00,0 days 03:55:00,False
hqw2xgvt17tx,Elevated errors on Claude 3.5 Haiku,2,#e67e22,anthropic,0,0,0,0,1,1,1,0,1,2024-11-25 20:15:00+00:00,We are currently investigating this issue.,0,,,0,,,1,2024-11-25 20:39:00+00:00,This incident has been resolved.,0,,,2024-11-25 20:15:00+00:00,2024-11-25 20:39:00+00:00,0 days 00:24:00,False
klgjmlv6z0d2,Elevated errors for requests to Claude 3.5 Sonnet,1,#f1c40f,anthropic,0,0,0,0,1,1,1,0,0,,,1,2024-11-22 14:08:00+00:00,"We are currently investigating elevated errors on requests to Claude 3.5 Sonnet on the API, Claude.ai, and the Anthropic Console.",1,2024-11-22 15:43:00+00:00,A fix has been implemented and we are monitoring the results.,1,2024-11-22 18:15:00+00:00,This incident has been resolved.,0,,,2024-11-22 14:08:00+00:00,2024-11-22 18:15:00+00:00,0 days 04:07:00,False
plmm7pp994w1,Elevated latency and errors on the Anthropic API,2,#e67e22,anthropic,0,0,0,0,1,0,0,0,1,2024-11-21 02:03:00+00:00,We are currently investigating this issue.,1,2024-11-21 04:11:00+00:00,"We have seen recovery of latency on the Anthropic API, however starting from 03:41 UTC, some users are experiencing elevated error rates on claude-3-5-sonnet-20241022.",1,2024-11-21 03:48:00+00:00,A fix has been implemented and we are monitoring the results.,1,2024-11-21 05:10:00+00:00,This incident has been resolved.,0,,,2024-11-21 02:03:00+00:00,2024-11-21 05:10:00+00:00,0 days 03:07:00,False
7qwmbhnk74bz,Elevated error rate on anthropic.com,1,#f1c40f,anthropic,0,0,0,0,0,0,0,0,1,2024-11-20 11:32:00+00:00,We are currently investigating this issue.,0,,,1,2024-11-20 11:50:00+00:00,A fix has been implemented and we are monitoring the results.,1,2024-11-20 12:02:00+00:00,This incident has been resolved.,0,,,2024-11-20 11:32:00+00:00,2024-11-20 12:02:00+00:00,0 days 00:30:00,False
qq84x115p0ly,Elevated error rate on Claude 3 Haiku and Claude 3.5 Sonnet (old),1,#f1c40f,anthropic,0,0,0,0,1,1,1,0,1,2024-11-19 15:24:00+00:00,We are currently investigating this issue.,1,2024-11-19 17:49:00+00:00,The issue has been identified and a fix is being implemented.,0,,,1,2024-11-19 18:49:00+00:00,This incident has been resolved.,0,,,2024-11-19 15:24:00+00:00,2024-11-19 18:49:00+00:00,0 days 03:25:00,False
63g2v72fv7nf,Connectivity issues to api.anthropic.com via IPv6,0,#333333,anthropic,0,0,0,0,1,0,0,0,0,,,0,,,0,,,1,2024-11-18 22:15:00+00:00,"We have identified an issue causing elevated latency and connectivity issues when attempting to reach the Anthropic API via IPv6. We have temporarily disabled IPv6 support on our API while the underlying issue is resolved, and expect to re-enable IPv6 support within the next 24 hours.",0,,,2024-11-18 22:15:00+00:00,2024-11-18 22:15:00+00:00,0 days 00:00:00,False
9jbp2mpxqkxl,Newly generated API keys are unable to be used,1,#f1c40f,anthropic,0,0,0,0,1,0,1,0,1,2024-11-16 16:30:00+00:00,We are currently investigating this issue.,1,2024-11-16 17:29:00+00:00,We have identified an issue that has resulted in API keys created after 12:00 UTC being unable to be used to make requests to the Anthropic API. Keys created before this time are unaffected.,1,2024-11-16 18:16:00+00:00,A fix has been implemented and API keys created since 11:49 UTC should begin to work as expected.,1,2024-11-16 18:18:00+00:00,This incident has been resolved.,0,,,2024-11-16 16:30:00+00:00,2024-11-16 18:18:00+00:00,0 days 01:48:00,False
cm416m2m0p83,Errors on Claude.ai and Console for logins and requests,3,#e74c3c,anthropic,0,0,0,0,0,1,1,0,0,,,1,2024-11-15 22:21:00+00:00,The issue has been identified and a fix is being implemented.,0,,,1,2024-11-15 22:26:00+00:00,"From 22:17–22:24 UTC, attempts to login or make requests on Claude.ai or the Anthropic Console resulted in errors. This issue has now been resolved. Requests to the API were unaffected.",0,,,2024-11-15 22:21:00+00:00,2024-11-15 22:26:00+00:00,0 days 00:05:00,False
7c55pwnprty2,Claude.ai PDF upload issues,2,#e67e22,anthropic,0,0,0,0,0,1,0,0,1,2024-11-14 10:18:00+00:00,We are currently investigating errors when attaching PDFs to chats on Claude.ai.,1,2024-11-14 10:44:00+00:00,"We have identified the issue as being specific to the ""Visual PDFs"" feature preview.",1,2024-11-14 11:34:00+00:00,"We have mitigated the errors with the ""Visual PDFs"" feature preview.",1,2024-11-14 16:58:00+00:00,This incident has been resolved.,0,,,2024-11-14 10:18:00+00:00,2024-11-14 16:58:00+00:00,0 days 06:40:00,False
7svmbgb2b28x,Elevated errors on the API,3,#e74c3c,anthropic,0,0,0,0,1,0,0,0,1,2024-11-14 04:22:00+00:00,We are currently investigating this issue.,0,,,1,2024-11-14 04:49:00+00:00,"We have identified the underlying issue and do not believe the issue is at risk of recurrence, but we are continuing to monitor closely.",1,2024-11-14 05:20:00+00:00,"From 04:12–04:33 UTC, requests to the Anthropic API experienced errors. This incident has been resolved.",0,,,2024-11-14 04:22:00+00:00,2024-11-14 05:20:00+00:00,0 days 00:58:00,False
tw3w5ddv028j,"Elevated error rate on Haiku, Sonnet, and Opus",2,#e67e22,anthropic,0,0,0,0,1,1,1,0,0,,,1,2024-11-13 14:30:00+00:00,The issue has been identified and a fix is being implemented.,0,,,1,2024-11-13 17:08:00+00:00,This incident has been resolved.,0,,,2024-11-13 14:30:00+00:00,2024-11-13 17:08:00+00:00,0 days 02:38:00,False
m76bldqdnwbm,Claude.ai and console.anthropic.com login issues,1,#f1c40f,anthropic,0,0,0,0,0,1,1,0,1,2024-11-07 23:38:00+00:00,We are currently investigating errors when attempting to log in to Claude.ai or the Anthropic Console.,0,,,1,2024-11-07 23:44:00+00:00,A fix has been implemented and we are monitoring the results.,1,2024-11-08 00:06:00+00:00,This incident has been resolved.,0,,,2024-11-07 23:38:00+00:00,2024-11-08 00:06:00+00:00,0 days 00:28:00,False
9x13dhrf7nxf,Elevated errors for requests to Claude 3.5 Sonnet,1,#f1c40f,anthropic,0,0,0,0,1,1,1,0,1,2024-11-07 13:39:00+00:00,We are currently investigating elevated errors on requests to Claude 3.5 Sonnet on the API,1,2024-11-07 15:10:00+00:00,The issue has been identified and a fix is being implemented.,1,2024-11-07 15:34:00+00:00,A fix has been implemented and we are monitoring the results.,1,2024-11-07 16:14:00+00:00,This incident has been resolved.,0,,,2024-11-07 13:39:00+00:00,2024-11-07 16:14:00+00:00,0 days 02:35:00,False
xy2wvb6y2rt1,Delayed processing on Message Batches API,1,#f1c40f,anthropic,0,0,0,0,0,0,0,0,1,2024-11-06 18:29:00+00:00,We are currently investigating this issue.,1,2024-11-06 23:31:00+00:00,The issue has been identified and a fix is being implemented.,0,,,1,2024-11-07 01:27:00+00:00,This incident has been resolved.,0,,,2024-11-06 18:29:00+00:00,2024-11-07 01:27:00+00:00,0 days 06:58:00,False
9106zhgcm1ds,Elevated errors for requests to Claude 3.5 Sonnet,1,#f1c40f,anthropic,0,0,0,0,1,1,1,0,0,,,1,2024-11-06 13:40:00+00:00,The issue has been identified and a fix is being implemented.,1,2024-11-06 14:07:00+00:00,A fix has been implemented and we are monitoring the results.,1,2024-11-06 18:17:00+00:00,This incident has been resolved.,0,,,2024-11-06 13:40:00+00:00,2024-11-06 18:17:00+00:00,0 days 04:37:00,False
5lbk0j79c20r,Invalid responses to some prompts on Sonnet 3.5,1,#f1c40f,anthropic,0,0,0,0,1,1,1,0,1,2024-11-05 23:47:00+00:00,We are currently investigating this issue.,0,,,1,2024-11-06 01:51:00+00:00,A fix has been implemented and we are monitoring the results.,1,2024-11-06 03:39:00+00:00,This incident has been resolved.,0,,,2024-11-05 23:47:00+00:00,2024-11-06 03:39:00+00:00,0 days 03:52:00,False
hc6p15sbcx11,Elevated errors for requests to Claude 3.5 Sonnet,2,#e67e22,anthropic,0,0,0,0,1,1,1,0,1,2024-11-05 18:57:00+00:00,"We are currently investigating elevated errors on requests to Claude 3.5 Sonnet on the API, Claude.ai, and the Anthropic Console.",0,,,0,,,1,2024-11-05 20:43:00+00:00,This incident has been resolved.,0,,,2024-11-05 18:57:00+00:00,2024-11-05 20:43:00+00:00,0 days 01:46:00,False
gps47bz19yxk,Elevated errors on Message Batches API,2,#e67e22,anthropic,0,0,0,0,0,0,0,0,1,2024-11-04 03:03:00+00:00,We are currently investigating this issue.,1,2024-11-04 06:18:00+00:00,The issue has been identified and a fix is being implemented.,1,2024-11-04 22:39:00+00:00,A fix has been implemented and we are monitoring the results.,1,2024-11-04 23:50:00+00:00,This incident has been resolved.,0,,,2024-11-04 03:03:00+00:00,2024-11-04 23:50:00+00:00,0 days 20:47:00,False
jqtqjmst3gld,Elevated errors for requests to Claude 3.5 Sonnet and Claude 3 Haiku,1,#f1c40f,anthropic,0,0,0,0,1,1,1,0,0,,,1,2024-11-04 15:19:00+00:00,"We are currently investigating elevated errors on requests to Claude 3.5 Sonnet on the API, and Claude.ai.",1,2024-11-04 16:48:00+00:00,A fix has been implemented and we are monitoring the results.,1,2024-11-04 17:39:00+00:00,This incident has been resolved.,0,,,2024-11-04 15:19:00+00:00,2024-11-04 17:39:00+00:00,0 days 02:20:00,False
hbnr2ffn9b9p,Elevated errors on Anthropic API,2,#e67e22,anthropic,0,0,0,0,1,1,1,0,1,2024-11-01 20:52:00+00:00,We are currently investigating this issue.,1,2024-11-01 21:07:00+00:00,The issue has been identified and a fix is being implemented.,0,,,1,2024-11-01 22:35:00+00:00,This incident has been resolved.,0,,,2024-11-01 20:52:00+00:00,2024-11-01 22:35:00+00:00,0 days 01:43:00,False
tlhshxr13647,Billing Maintenance - Billing Delays,4,#3498db,anthropic,0,0,0,0,1,0,1,0,0,,,0,,,1,2024-10-31 05:31:00+00:00,"Due to ongoing billing maintenance, API usage charges may be delayed. Console Billing and Cost tabs may take a while to show the latest cost for API usage.",1,2024-10-31 23:46:00+00:00,"Maintenance has been completed, functionality restored to normal",0,,,2024-10-31 05:31:00+00:00,2024-10-31 23:46:00+00:00,0 days 18:15:00,False
69qlg67hcvzf,Elevated errors for requests to Claude 3.5 Sonnet,0,#333333,anthropic,0,0,0,0,1,1,1,0,0,,,1,2024-10-30 12:11:00+00:00,The issue has been identified and a fix is being implemented.,1,2024-10-30 14:16:00+00:00,A fix has been implemented and we are monitoring the results.,1,2024-10-30 18:13:00+00:00,This incident has been resolved.,0,,,2024-10-30 12:11:00+00:00,2024-10-30 18:13:00+00:00,0 days 06:02:00,False
yf39k9sw8rqx,Tool use errors,1,#f1c40f,anthropic,0,0,0,0,1,0,0,0,1,2024-10-29 16:52:00+00:00,We are currently investigating an issue resulting in incorrect tool calls when using the computer use beta. We will provide updates as soon as possible.,1,2024-10-30 01:43:00+00:00,The issue has been identified and a fix is being implemented.,0,,,1,2024-10-30 04:15:00+00:00,"Between 21:00 UTC on October 28 through 04:15 UTC on October 30, API calls invoking tool use intermittently failed to include all parameters, including required parameters. This issue primarily affected requests to claude-3-5-sonnet-20241022 and claude-3-haiku-20240307, and has now been resolved.",0,,,2024-10-29 16:52:00+00:00,2024-10-30 04:15:00+00:00,0 days 11:23:00,False
mwl16r45ph0h,Elevated errors for requests to Claude 3.5 Sonnet,1,#f1c40f,anthropic,0,0,0,0,1,1,1,0,0,,,1,2024-10-29 14:03:00+00:00,The issue has been identified and a fix is being implemented.,1,2024-10-29 14:12:00+00:00,A fix has been implemented and we are monitoring the results.,1,2024-10-29 17:10:00+00:00,"Success rates on Claude 3.5 Sonnet have remained at normal levels, and this incident is resolved.",0,,,2024-10-29 14:03:00+00:00,2024-10-29 17:10:00+00:00,0 days 03:07:00,False
s1ssnw8w5gt3,Elevated errors on Claude 3.5 Sonnet,2,#e67e22,anthropic,0,0,0,0,1,1,1,0,1,2024-10-29 02:26:00+00:00,We are currently investigating an elevated error rate on claude-3-5-sonnet-20241022.,1,2024-10-29 03:57:00+00:00,We are working to resolve a recurrence of errors impacting requests to Claude 3.5 Sonnet's latest version.,1,2024-10-29 03:08:00+00:00,"We have applied a fix and are monitoring success rates returning to normal. Free Claude.ai usage has been temporarily routed to Haiku, and will be returned to normal as soon as possible.",1,2024-10-29 05:15:00+00:00,"This incident has been resolved, and free Claude.ai usage has been returned to 3.5 Sonnet.",0,,,2024-10-29 02:26:00+00:00,2024-10-29 05:15:00+00:00,0 days 02:49:00,False
t6cf9660c3fh,Analysis tool prevents viewing of Artifacts on Claude.ai,2,#e67e22,anthropic,0,0,0,0,0,1,0,0,1,2024-10-29 01:49:00+00:00,We are currently investigating an issue which is resulting in the Artifact panel not being accessible while the analysis tool feature preview is enabled on Claude.ai chats. The analysis tool may be disabled as a workaround while we resolve this issue.,0,,,0,,,1,2024-10-29 02:56:00+00:00,This incident has been resolved.,0,,,2024-10-29 01:49:00+00:00,2024-10-29 02:56:00+00:00,0 days 01:07:00,False
